KEGGid,SMILES_by_ChEBI,SMILES_by_CAS
C15614,[H][C@@](C)(CC[C@@H](O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C,None
C15615,Oc1ccc2c(c1)occ(-c1ccccc1)c2=O,None
C15616,COc1ccc2c(c1)occ(-c1ccccc1)c2=O,None
C15617,Cc1cccc(Nc2cc(Cl)nc(SCC(O)=O)n2)c1C,Cc1cccc(Nc2cc(Cl)nc(SCC(O)=O)n2)c1C
C15618,CC(C)c1cc(Cc2c(C)cc(OCC(O)=O)cc2C)ccc1O,CC(C)c1cc(Cc2c(C)cc(OCC(O)=O)cc2C)ccc1O
C15619,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc3ccc(cc3)C(O)=O
C15620,CCOC(=O)NC[C@H](Cc1ccc(OCCc2nc(oc2C)-c2ccccc2)cc1)N\C(C)=C/C(=O)c1ccc(cc1)C(F)(F)F,CCOC(=O)NC[C@H](Cc1ccc(OCCc2nc(oc2C)c3ccccc3)cc1)NC(/C)=C\C(=O)c4ccc(cc4)C(F)(F)F
C15622,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(O)=O,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC3CCCCC3)cc1)C(O)=O
C15623,C\C(N[C@@H](Cc1ccc(OCCc2nc(oc2C)-c2ccccc2)cc1)C(O)=O)=C\C(=O)c1ccccc1,C\C(N[C@@H](Cc1ccc(OCCc2nc(oc2C)c3ccccc3)cc1)C(O)=O)=C\C(=O)c4ccccc4
C15624,None,None
C15625,Cc1nc(sc1CSc1ccc(OCC(O)=O)c(C)c1)-c1ccc(c(F)c1)C(F)(F)F,Cc1cc(SCc2sc(nc2C)c3ccc(c(F)c3)C(F)(F)F)ccc1OCC(O)=O
C15626,CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(O)=O)cc1)c1ccccn1,CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c3ccccc3)C(O)=O)cc1)c4ccccn4
