C09927,CC(C)CC1c2c(O)c(C=O)c(O)c(C=O)c2OC2(C)C=CC(C(C)C)CC12
C09926,COC1=CC(=O)OC(CCc2ccc3c(c2)OCO3)C1
C09925,COc1cc(C=Cc2ccccc2)oc(=O)c1
C09924,COc1cc(C2Oc3ccc4ccc(=O)oc4c3OC2CO)cc(OC)c1O
C03408,CC(=O)NC(C(=O)O)C(O)C(O)C(O)CO
C03409,N=CNC(CC(=O)O)C(=O)O
C15346,CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(OC(C)=O)CCC32)C1
C03402,NAN
C06163,CN12CCc3cc4c(cc3C1Cc1ccc3c(c1C2)OCO3)OCO4
C03400,OCC1OC(O)C(O)C(O)C1O
C03401,NCC(N)C(=O)O
C03406,N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O
C06167,COc1ccc(CC2=N(C)CCc3cc(OC)c(O)cc32)cc1O
C03404,COC(=O)C(N)Cc1ccc(O)cc1
C06165,COc1cc2c3c(OC)cc4c(c3c[n+](C)c2c2cc3c(cc12)OCO3)OCO4
C07569,CCCc1cc(=O)[nH]c(=S)[nH]1
C07568,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
C04180,CCCCCCC=CCC(=O)S
C04181,CC(C)(O)C(=O)C(=O)O
C04186,O=C(O)CC(=CC=C(O)C(=O)O)C(=O)O
C04187,Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1N
C04185,O=C(O)c1cc2cc(O)c(O)cc2[nH]1
C07561,ClC(Cl)(Cl)Cl
C07560,NAN
C04188,CSCC1OC(OP(=O)(O)O)C(O)C1O
C08251,OCC1OC(OC2C(OC3(CO)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O
C07565,CC(=O)Nc1ccccc1
C07564,CCCN(CCC)CCc1cccc2c1CC(=O)N2
C07567,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
C07566,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
