C20365 , CCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCCCCCC
C20366 , N
C20367 , N
C20360 , [Na+].CC(=C)C[S]([O-])(=O)=O
C20361 , CNCCCC(=O)c1cccnc1
C20362 , CCC1=C(O)C(=O)C=CO1
C20363 , O=C1OCCO1
C03548 , N
C20368 , N
C20369 , N
C06067 , None
C15498 , N
C03546 , OC1C(O)C(O)C(O[P](O)(O)=O)C(O)C1O
C20624 , CSC1=C(CCC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)C)C(=O)c2sccc2C1=O
C03544 , N
C17179 , None
C01173 , N
C06062 , N
C15700 , N
C17177 , None
C02018 , N#Cc1cnccn1
C04865 , N
C04864 , N
C04867 , N
C04866 , N
C04861 , N
C04862 , N
C13297 , CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O
C06385 , N
C05165 , N
C06714 , N
C06717 , N
C15701 , N
C13299 , CCCCC[C@@H](O)[C@@H]1[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)[C@@H](O)[C@H](O)/C(=C/C=C/C=C/C=C/C=C/[C@H](O)[C@@H](C)OC1=O)C
