KEGGid,SMILES_by_mol
C00157,*C(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O
C00158,O=C(O)CC(O)(CC(=O)O)C(=O)O
C00159,OCC1OC(O)C(O)C(O)C1O
C00160,O=C(O)CO
C00161,*C(=O)C(=O)O
C00162,*C(=O)O
C00163,CCC(=O)O
C00164,CC(=O)CC(=O)O
C00165,*C(=O)OCC(CO)OC(*)=O
C00166,O=C(O)C(=O)Cc1ccccc1
C00167,O=C(O)C1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C(O)C1O
C00168,O=C(O)C(=O)CO
C00169,NC(=O)OP(=O)(O)O
C00170,CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
C00171,*C1OC(COP(=O)(O)O)C(O)C1O
C00172,*C1OC(COP(=O)(O)OC2C(COP(=O)(O)OC3C(COP(=O)(O)O)OC(*)C3O)OC(*)C2O)C(OP(=O)(O)O)C1O
C00173,*CCC(=O)S*
C00175,[Co+2]
C00176,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21
C00177,[C-]#N
C00178,Cc1c[nH]c(=O)[nH]c1=O
C00179,N=C(N)NCCCCN
C00180,O=C(O)c1ccccc1
C00181,OC1COC(O)C(O)C1O
C00182,OCC1OC(OCC2OC(OC3C(CO)OC(O)C(O)C3O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
C00183,CC(C)C(N)C(=O)O
C00184,O=C(CO)CO
C00185,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
C00186,CC(O)C(=O)O
C00187,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
C00188,CC(O)C(N)C(=O)O
C00189,NCCO
C00190,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OCC(O)C(O)C3O)C(O)C2O)c(=O)[nH]1
C00191,O=C(O)C1OC(O)C(O)C(O)C1O
C00192,NO
C00193,O=Cc1ccccc1
C00194,CC1=C2N=C(C=C3N=C(C(C)=C4N([Co+]CC5OC(n6cnc7c(N)ncnc76)C(O)C5O)C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)([O-])OC4C(CO)OC(n5cnc6cc(C)c(C)cc65)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O
C00195,*C(=O)NC(CO)C(O)C=CCCCCCCCCCCCCC
C00196,O=C(O)c1cccc(O)c1O
C00197,O=C(O)C(O)COP(=O)(O)O
C00198,O=C1OC(CO)C(O)C(O)C1O
C00199,O=C(CO)C(O)C(O)COP(=O)(O)O
C00200,COS(=O)(=O)[O-].C[n+]1c2ccccc2nc2ccccc21
C00201,*C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
C00202,CC(C)OP(=O)(F)OC(C)C
C00203,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O
C00204,O=C(O)C(=O)CC(O)C(O)CO
C00206,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)O)O1
C00207,CC(C)=O
C00208,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
C00209,O=C(O)C(=O)O
C00210,*[Co+]N1C2=C(C)C3=NC(=CC4=NC(=C(C)C5=NC(C)(C1C(CC(N)=O)C2(C)CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(*)C1O)C(C)(CC(N)=O)C5CCC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(C)C3CCC(N)=O
C00211,*C(N)C(=O)NC(*)C(=O)N1CCCC1C(=O)NC(*)C(=O)O
C00212,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
C00213,CNCC(=O)O
C00214,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
C00216,OC1COC(O)C(O)C1O
C00217,NC(CCC(=O)O)C(=O)O
C00218,CN
C00219,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
C00220,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
C00221,OCC1OC(O)C(O)C(O)C1O
C00222,O=CCC(=O)O
C00223,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C=Cc1ccc(O)cc1
C00224,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O
C00225,C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-]
C00226,*CO
C00227,CC(=O)OP(=O)(O)O
C00229,*S
C00230,O=C(O)c1ccc(O)c(O)c1
C00231,O=C(CO)C(O)C(O)COP(=O)(O)O
C00232,O=CCCC(=O)O
C00233,CC(C)CC(=O)C(=O)O
C00234,Nc1nc2c(c(=O)[nH]1)NC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2
C00235,CC(C)=CCOP(=O)(O)OP(=O)(O)O
C00236,O=C(OP(=O)(O)O)C(O)COP(=O)(O)O
C00237,[C-]#[O+]
C00238,[K+]
C00239,Nc1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)n1
C00240,*C1OC(COP(=O)(O)OC2C(COP(=O)(O)OC3C(CO)OC(*)C3O)OC(*)C2O)C(O)C1O
C00241,*C(N)=O
C00242,Nc1nc2[nH]cnc2c(=O)[nH]1
C00243,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
C00244,O=[N+]([O-])O
C00245,NCCS(=O)(=O)O
C00246,CCCC(=O)O
C00247,OCC1(O)OCC(O)C(O)C1O
C00248,NC(=O)CCCCC1CCSS1
C00249,CCCCCCCCCCCCCCCC(=O)O
C00250,Cc1ncc(CO)c(C=O)c1O
C00251,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
C00252,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O
C00253,O=C(O)c1cccnc1
C00254,O=C(O)C(=O)CC1(C(=O)O)C=CC(O)C=C1
C00255,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
C00256,CC(O)C(=O)O
C00257,O=C(O)C(O)C(O)C(O)C(O)CO
C00258,O=C(O)C(O)CO
C00259,OC1COC(O)C(O)C1O
C00261,O=Cc1ccccc1
C00262,O=c1[nH]cnc2[nH]cnc12
C00263,NC(CCO)C(=O)O
C00264,*C(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C00265,OC(CS)C(O)CS
C00266,O=CCO
C00267,OCC1OC(O)C(O)C(O)C1O
C00268,CC(O)C(O)C1CNC2=NC(N)=NC(=O)C2=N1
C00269,*C(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(*)=O
C00270,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO
C00272,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1
C00273,O=C(CO)C(O)C(O)C(=O)CO
C00275,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O
C00279,O=CC(O)C(O)COP(=O)(O)O
C00280,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O
C00282,[H][H]
C00283,S
C00284,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
C00286,Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
C00288,O=C([O-])O
C00291,[Ni]
C00292,Nc1ccccc1
C00294,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O
C00295,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
C00296,O=C(O)C1(O)CC(O)C(O)C(O)C1
C00297,*S*
C00299,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1
C00300,CN(CC(=O)O)C(=N)N
C00301,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O
C00302,NC(CCC(=O)O)C(=O)O
C00303,NC(=O)CCC(N)C(=O)O
C00304,*CC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(*)C(O)C1O
C00305,[Mg+2]
C00306,N=C(N)NCCCC(N)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(CO)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)O
C00307,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
C00308,N=C(N)NOCCC(N)C(=O)O
C00309,OCC1(O)OCC(O)C1O
C00310,OCC1(O)OCC(O)C1O
C00311,O=C(O)CC(C(=O)O)C(O)C(=O)O
C00312,OCC1(O)OCC(O)C1O
C00313,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C(=O)O
C00314,Cc1ncc(CO)c(CO)c1O
C00315,NCCCCNCCCN
C00318,C[N+](C)(C)CC(O)CC(=O)[O-]
C00319,CCCCCCCCCCCCCC=CC(O)C(N)CO
C00320,O=S(=O)(O)[S-]
C00322,O=C(O)CCCC(=O)C(=O)O
C00323,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C=Cc1ccc(O)c(O)c1
C00324,N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N
C00325,CC1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(O)C2O)C(O)C(O)C1O
C00327,NC(=O)NCCCC(N)C(=O)O
C00328,Nc1ccccc1C(=O)CC(N)C(=O)O
C00329,NC1C(O)OC(CO)C(O)C1O
C00330,Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1
C00331,O=C(O)C(=O)Cc1c[nH]c2ccccc12
C00332,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C00333,O=C(O)C1OC(O)C(O)C(O)C1O
C00334,NCCCC(=O)O
C00337,O=C1CC(C(=O)O)NC(=O)N1
C00339,*CO
C00341,CC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
C00342,*NC(CS)C(=O)NC(*)C(=O)NC(*)C(=O)NC(CS)C(*)=O
C00343,*NC1CSSCC(C(*)=O)NC(=O)C(*)NC(=O)C(*)NC1=O
C00344,*C(=O)OCC(COP(=O)(O)OCC(O)CO)OC(*)=O
C00345,O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O
C00346,NCCOP(=O)(O)O
C00347,*CCC(=O)O
C00348,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)O
C00349,CC(C=O)C(=O)O
C00350,*C(=O)OCC(COP(=O)(O)OCCN)OC(*)=O
C00351,*C1CC(OP(=O)(O)O)C(COP(=O)(O)OC2CC(*)OC2COP(=O)(O)OC2CC(*)OC2COP(=O)(O)O)O1
C00352,NC1C(O)OC(COP(=O)(O)O)C(O)C1O
C00353,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
C00354,O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O
C00355,NC(Cc1ccc(O)c(O)c1)C(=O)O
C00356,CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C00357,CC(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O
C00360,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1
C00361,Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
C00362,Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1
C00363,Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O
C00364,Cc1cn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]c1=O
C00365,O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1
C00366,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
C00369,*OC1OC(CO)C(OC2OC(CO)C(*)C(O)C2O)C(O)C1O
C00370,OC1CCC2C(CCC3C4CCCC4CCC23)C1
C00371,CC(=CCNc1ncnc2[nH]cnc12)CO
C00372,*OCC1OC(OCC2OC(*)C(O)C(O)C2O)C(O)C(O)C1O
C00374,*OC1C(C(=O)O)OC(OC2C(CO)OC(OC3C(C(=O)O)OC(OC4C(COS(=O)(=O)O)OC(*)C(NC(C)=O)C4O)C(OS(=O)(=O)O)C3O)C(NS(=O)(=O)O)C2OS(=O)(=O)O)C(OS(=O)(=O)O)C1O
C00375,*CN
C00376,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O
C00378,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
C00379,OCC(O)C(O)C(O)CO
C00380,Nc1cc[nH]c(=O)n1
C00381,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCO
C00383,O=C(O)CC(=O)O
C00384,*C1C(O)C(N)CC(N)C1OC1OC(CN)C(O)C(O)C1N
C00385,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
C00386,NCCC(=O)NC(Cc1c[nH]cn1)C(=O)O
C00387,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1
C00388,NCCc1c[nH]cn1
C00389,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
C00390,COc1c(O)c(C)c(CC=C(C)CCC=C(C)C)c(O)c1OC
C00392,OCC(O)C(O)C(O)C(O)CO
C00394,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1
C00395,*C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
C00396,c1cncnc1
C00397,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O
C00398,NCCc1c[nH]c2ccccc12
C00399,COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)C)=C(C)C1=O
C00400,CC1CCC(C(C)C)C(O)C1
C00401,*OC1OC(CO)C(O)C(OC2OC(C(=O)O)C(*)C(O)C2O)C1NC(C)=O
C00402,NC(CC(=O)O)C(=O)O
C00403,*C(N)C(=O)NC(*)C(=O)NC(*)C(=O)O
C00404,O=P(O)(O)OP(=O)(O)OP(=O)(O)O
C00405,*C(N)C(=O)O
C00406,COc1cc(C=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2OP(=O)(O)O)ccc1O
C00407,CCC(C)C(N)C(=O)O
C00408,O=C(O)C1CCCCN1
C00409,CS
C00410,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
C00411,COc1cc(C=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2OP(=O)(O)O)cc(OC)c1O
C00412,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
