KEGGid,SMILES_by_CAS
C00204,OCC(O)C(O)CC(=O)C(O)=O
C00205,None
C00206,Nc1ncnc2n(cnc12)C3CC(O)C(CO[P](O)(=O)O[P](O)(O)=O)O3
C00207,CC(C)=O
C00208,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
C00209,OC(=O)C(O)=O
C00210,None
C00211,None
C00212,Nc1ncnc2n(cnc12)C3OC(CO)C(O)C3O
C00213,CNCC(O)=O
C00214,CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O
C00215,None
C00216,OC1COC(O)C(O)C1O
C00217,NC(CCC(O)=O)C(O)=O
C00218,CN
C00219,CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(O)=O
C00220,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C
C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00222,None
C00223,CC(C)(CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)\C=C\c4ccc(O)cc4
C00224,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[S](O)(=O)=O)C(O)C3O
C00225,[Cl-].[Cl-].C[n+]1ccc(cc1)c2cc[n+](C)cc2
C00226,None
C00227,None
C00229,None
C00230,OC(=O)c1ccc(O)c(O)c1
C00231,None
C00232,OC(=O)CCC=O
C00233,[Na+].CC(C)CC(=O)C([O-])=O
C00234,None
C00235,CC(C)=CCO[P](O)(=O)O[P](O)(O)=O
C00236,O[C@H](CO[P](O)(O)=O)C(=O)O[P](O)(O)=O
C00237,[C-]#[O+]
C00238,[K+]
C00239,NC1=NC(=O)N(C=C1)C2CC(O)C(CO[P](O)(O)=O)O2
C00240,None
C00241,None
C00242,NC1=NC(=O)c2[nH]cnc2N1
C00243,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
C00244,O[N+]([O-])=O
C00245,NCC[S](O)(=O)=O
C00246,CCCC(O)=O
C00247,OCC(O)C(O)C(O)C(=O)CO
C00248,NC(=O)CCCCC1CCSS1
C00249,CCCCCCCCCCCCCCCC(O)=O
C00250,Cc1ncc(CO)c(C=O)c1O
C00251,OC1C=CC(=CC1OC(=C)C(O)=O)C(O)=O
C00252,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00253,OC(=O)c1cccnc1
C00254,OC1C=CC(CC(=O)C(O)=O)(C=C1)C(O)=O
C00255,Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)c2cc1C
C00256,CC(O)C(O)=O
C00257,[K+].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
C00258,[K+].OCC(O)C([O-])=O
